ticker,avg_return,volatility,cumulative_return,sharpe_ratio,rvi_Conservador,rvi_Moderado,rvi_Arrojado
RAIL3,0.04640911833875405,0.023431750956756363,0.2843657509068023,0.11267450837209676,0.034653763436490174,0.09712369362722846,0.050737920603888556
TAEE3,0.04566417431168013,0.014266656739910327,0.2793296148913853,-0.008445767336012077,0.01513516608949507,-0.0007635307636506159,0.03711342838973393
CYRE3,0.04319613364650654,0.03189992940929276,0.262759991180775,0.19650494984520495,0.049490051876605365,0.1647135661817439,0.057397394842655006
CRPG3,0.04296151642696855,0.03090461350239593,0.2611940372863897,0.16960525874345359,0.045980368318958964,0.14307081998769933,0.0544202003661598
ENGI11,0.042861409315482435,0.019912500676245917,0.2605263559441817,0.06311828182752414,0.02652796965529739,0.056772016461192155,0.04259220570276296
ADHM3,0.04023182483521892,0.0433479705199372,0.24309125551929167,0.23463894369099342,0.062165453268570994,0.19606913448831037,0.059984151289268206
BMKS3,0.03954713276801303,0.030324933668079732,0.23858404919109732,0.17249442296067719,0.04546410250733281,0.14498274501215103,0.05191964187728611
PEAB3,0.03936087082737316,0.03354420185178194,0.23736023774150006,0.19493832586601959,0.050265281150764826,0.16324116796073118,0.054336949433678686
VALE3,0.03877380948360942,0.024679462118176017,0.23350949832736556,0.1093758226198979,0.03455853290489155,0.09384598525609687,0.044424576060694936
MERC4,0.038618596937959326,0.05148587159335805,0.2324930469594424,0.29511523140970825,0.0745620801094532,0.24510263198089835,0.0655549878506741
DEXP4,0.03860439896638135,0.07046123231769498,0.23240010194397476,0.338605390274927,0.09408996477828682,0.28179087534834923,0.07179018143236728
RAPT4,0.037981770492353295,0.027663607947301657,0.22832979267462838,0.14197525963945326,0.04012658937102199,0.1201447455555281,0.04734930315255813
TFCO4,0.03695193994939405,0.02596064987395171,0.2216216422416053,0.16050068080641294,0.04051378197474207,0.13469180362746494,0.04820768502755171
TUPY3,0.036084134526966016,0.023846153599080752,0.21599221139634417,0.09091986689113336,0.03177732302107454,0.07872892232551137,0.04034390967059423
SYNE3,0.032685908946263664,0.03741891565731261,0.19415202460591519,0.2453942812035121,0.05774315154082767,0.2033259074231673,0.0544300468430934
CRIV4,0.03249274626310483,0.026112623627065814,0.192920293336712,0.10669420542256478,0.03480879407021961,0.09121590132706889,0.039274879915446925
INTB3,0.030848551567356886,0.02421657544020188,0.18247788405140364,0.13068139871546625,0.03552625538044382,0.11005163167312888,0.04016863866945232
TRIS3,0.030677412163342188,0.033924140214586264,0.1813952786913453,0.19370789842971997,0.04957784323097523,0.1614264739815688,0.047305133595104375
CAML3,0.030586715290695565,0.023495966979428396,0.180821871278795,0.07200592785287263,0.02905603789789954,0.0630130105093105,0.03401956171578656
BRGE6,0.02993129840981812,0.061544150018540224,0.17668493760815696,0.32707116960541716,0.08493556681635571,0.27080448052716954,0.06280657069025024
BBSE3,0.029517935296781594,0.017450799108246404,0.174081933555839,-0.01746443524333568,0.015165989291941717,-0.009274674754165744,0.023612984623916353
CPFE3,0.026154277512182578,0.018660724679437204,0.15307527007864907,-0.008312949286895525,0.01671271256607847,-0.0021688592103544426,0.021958199549000232
IGTI3,0.02614713173905736,0.03050965434538956,0.15303097329256765,0.14557799317327602,0.04158023596754499,0.12212807314706552,0.03852647014311245
B3SA3,0.025083910049646718,0.025908168596998276,0.146455548773343,0.08945968897676511,0.032180894780239805,0.0766669590460766,0.031603913797093715
PSSA3,0.022491546372813476,0.018337309623093268,0.13055183877435184,-0.027660052732753848,0.014152997062480578,-0.018045156586612408,0.017060962787284722
NEOE3,0.022257903115846744,0.01944716289909102,0.12912739695030861,-0.0011437964253354746,0.017669140988323943,0.003255469461225397,0.01963665914005295
VAMO3,0.021874244337966475,0.030141643809226966,0.12679155024263555,0.1592834429560001,0.04222908377677823,0.13262834317951944,0.03644190414689589
PEAB4,0.021117376888889483,0.037681433293623966,0.1221950810130028,0.23864788813745338,0.05612167313753346,0.19679819152821407,0.04452683365421932
VIVT3,0.020047539379322243,0.0170122075513964,0.11572413485515098,-0.06057055818204632,0.00955746416084471,-0.04475047185256519,0.011682196440392801
PLPL3,0.01928176516517821,0.03456820585254148,0.11111111111111249,0.19173783168042213,0.048756524366593224,0.1587752624461097,0.03805601588543893
BALM3,0.01879413607209357,0.036047841782221396,0.10818178003484391,0.14762748479475624,0.0454804355124621,0.1235861856212365,0.03340284151537262
