ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio,Earn. Yield
JSLG3,5.72,6.36,0.88,0.188,7.35%,0.128,0.8,1.55,-0.27,7.19,4.66,12.11%,2.95%,1.74,10.52%,13.84%,0.8993710691823898,6.36,1860190000.0,4.51,32.69%,-0.0802237595216094,0.0281102826049877,-0.3951528019434447,-0.205312190859475,15.723270440251572
VAMO3,4.75,7.4,0.99,0.73,5.77%,0.206,1.46,1.99,-0.44,6.28,4.84,36.60%,9.87%,1.78,13.56%,13.35%,0.6418918918918919,7.4,5199350000.0,2.92,50.92%,-0.0822255694752644,0.0308273922298955,-0.4030243481697423,-0.1764196342236803,13.513513513513514
DXCO3,6.03,14.69,0.75,0.609,1.95%,0.266,2.74,5.39,-0.77,10.8,4.47,11.30%,4.28%,1.49,6.04%,5.10%,0.4104833219877468,14.69,6607770000.0,1.08,7.65%,-0.085305115980111,0.0291975919170271,-0.4149669368760118,-0.1191105110116552,6.8073519400953035
VITT3,5.21,11.14,1.28,1.012,3.25%,0.867,2.22,11.21,3.06,13.18,10.11,9.03%,9.07%,2.81,8.58%,11.50%,0.4676840215439856,11.14,611392000.0,0.32,0.92%,-0.0865925968415961,0.0276519149259847,-0.4199004381028264,-0.3244205431984678,8.97666068222621
HYPE3,18.01,7.27,0.93,1.467,6.48%,0.441,2.89,5.2,-2.35,8.43,7.49,28.19%,20.06%,1.81,9.84%,12.84%,2.4773039889958737,7.27,12214800000.0,0.84,19.69%,-0.0869300497078238,0.02204728527203,-0.4211877718316248,-0.2971602002329765,13.75515818431912
MDNE3,10.79,3.81,0.59,0.617,6.02%,0.23,0.79,3.33,-1.57,3.56,3.43,18.54%,16.15%,2.71,7.99%,15.46%,2.8320209973753276,3.81,1553810000.0,0.31,35.06%,-0.0870439198044285,0.0373851051403117,-0.4216216319316127,-0.0093924091247915,26.246719160104988
SMFT3,17.89,11.58,1.99,2.028,2.94%,0.64,6.18,9.12,-1.46,11.04,5.11,22.25%,17.64%,1.75,8.82%,17.22%,1.5449050086355787,11.58,5259470000.0,0.98,33.09%,-0.0921082433771858,0.0283864730235082,-0.440645156368133,-0.3119554206927228,8.635578583765112
AZZA3,31.32,12.19,0.82,1.01,2.76%,0.434,2.23,11.32,-15.6,14.28,9.29,8.93%,8.24%,1.78,4.62%,6.75%,2.5693191140278917,12.19,7865410000.0,0.31,44.31%,-0.0940116087262206,0.02613451954551,-0.447658678746427,-0.2095662314499351,8.203445447087777
SANB11,24.37,7.86,1.03,0.0,6.61%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,13.15%,3.100508905852417,7.86,88425200000.0,0.0,4.36%,-0.0956020290003248,0.0211089657143557,-0.453462693996476,-0.3541940274186462,12.72264631043257
CMIN3,4.78,6.77,2.93,1.526,16.15%,0.761,3.6,4.76,-2.94,3.72,3.08,32.04%,22.53%,1.78,30.62%,43.27%,0.706056129985229,6.77,8945330000.0,0.98,-2.60%,-0.0976079447475781,0.026459380354466,-0.4607104144828728,-0.3480303545377912,14.771048744460858
RSID3,2.94,0.21,-0.06,0.697,0.00%,0.117,-0.19,-5.0,-0.05,-34.88,-35.34,-13.95%,328.47%,0.45,-2.51%,-28.42%,14.0,0.21,-972057000.0,-0.39,2.20%,-0.0989236334654213,0.0410342904821375,-0.4654205708266752,0.045788170410383,476.1904761904762
EQPA6,8.0,8.52,3.64,1.647,9.50%,1.032,9.1,5.91,-3.03,6.83,5.99,27.88%,19.33%,1.43,23.41%,42.67%,0.9389671361502347,8.52,4861470000.0,1.21,17.00%,-0.0992733217369203,0.0393810724450703,-0.4666666666666664,-0.0378181908835254,11.737089201877934
COCE5,25.33,6.77,0.39,0.237,3.90%,0.144,-0.86,1.45,-0.34,5.29,3.64,16.39%,3.50%,0.55,10.96%,5.77%,3.741506646971935,6.77,5043900000.0,1.07,9.76%,-0.1005261277167016,0.0189636742639237,-0.4711111159551716,-0.4492528634218761,14.771048744460858
USIM5,5.08,6.98,0.27,0.243,5.57%,0.161,0.51,40.33,1.52,43.6,5.06,0.60%,4.18%,3.72,0.51%,3.82%,0.7277936962750716,6.98,23848200000.0,0.27,11.56%,-0.1026237814516145,0.0310643024064383,-0.4784836031534585,-0.1224348168242263,14.326647564469914
JALL3,4.55,12.05,0.66,0.711,1.49%,0.186,0.71,5.27,-0.56,17.77,3.65,13.49%,5.90%,3.07,4.35%,5.48%,0.37759336099585056,12.05,2090510000.0,2.15,13.03%,-0.104312971159055,0.0225737925897018,-0.4843580298432595,-0.5028849048589337,8.29875518672199
EZTC3,11.03,6.76,0.5,1.656,9.80%,0.384,0.94,10.88,1.68,11.68,10.21,15.22%,26.06%,11.59,4.14%,7.38%,1.6316568047337279,6.76,4889260000.0,0.22,8.54%,-0.1046807985791905,0.0314392602630526,-0.4856298661816837,-0.1214655465070114,14.792899408284024
AURE3,8.36,12.14,0.7,1.331,4.56%,0.279,1.89,10.49,-0.95,14.18,7.93,12.68%,10.96%,1.93,3.29%,5.74%,0.6886326194398681,12.14,12587300000.0,0.67,15.97%,-0.1047809131919046,0.0149288090279485,-0.4859755791914295,-1.2091373298720438,8.237232289950576
AHEB3,38.25,2.28,2.04,0.457,0.00%,0.634,1.61,2.11,-7.18,1.66,1.59,21.72%,20.02%,2.89,38.05%,89.31%,16.776315789473685,2.28,160224000.0,0.03,63.72%,-0.1052137002389194,0.0385026807045814,-0.487467839616563,0.0121563435929863,43.85964912280702
PINE3,4.44,4.03,0.87,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,21.68%,1.1017369727047146,4.03,1168580000.0,0.0,89.98%,-0.1081652171816809,0.0586874552206689,-0.497548755540897,0.2212837054274153,24.813895781637715
SANB3,11.55,7.45,0.98,0.0,6.64%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,13.15%,1.5503355704697988,7.45,88425200000.0,0.0,4.36%,-0.1088910299749129,0.0231888792239111,-0.5000022806987771,-0.3320195507525089,13.422818791946309
BRSR3,11.2,4.9,0.45,0.0,8.88%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,9.12%,2.2857142857142856,4.9,10254100000.0,0.0,7.55%,-0.1096180608844751,0.019259772227265,-0.5024499021517437,-0.4712536977467803,20.408163265306122
MYPK3,12.22,9.95,0.45,0.126,4.95%,0.123,0.7,1.96,-0.58,6.0,3.97,6.44%,2.01%,1.56,8.92%,4.56%,1.2281407035175882,9.95,4141440000.0,1.5,14.88%,-0.1101164578516851,0.0282702035629679,-0.5041220272269672,-0.2013676349911763,10.05025125628141
