ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,LPA,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos,avg_return,volatility,cumulative_return,sharpe_ratio
AHEB3,35.0,2.81,2.63,0.47,0.00%,0.582,1.79,2.17,-3.19,1.38,1.31,21.63%,16.68%,2.2,40.02%,93.37%,12.455516014234876,2.81,113775000.0,0.03,44.82%,-0.1282494339853875,0.0395158208001363,-0.5310163238321493,-0.0141369224670295
EQPA6,7.0,6.93,3.05,1.481,10.86%,1.058,10.74,4.73,-2.95,5.84,5.15,31.34%,21.37%,1.5,26.38%,43.96%,1.0101010101010102,6.93,5075140000.0,0.96,17.69%,-0.1290317056465809,0.0409297056877457,-0.5333333333333332,-0.069999276898201
MELK3,3.74,6.76,0.62,0.683,13.02%,0.315,0.6,7.64,0.9,6.05,5.79,8.94%,14.80%,2.94,5.15%,9.23%,0.5532544378698225,6.76,1236660000.0,0.23,24.10%,-0.1305504260856336,0.0261998562837392,-0.5378048719500309,-0.4666056641819425
ALLD3,7.8,4.67,0.46,0.124,26.01%,0.211,0.66,4.13,1.61,5.25,3.91,2.99%,2.64%,1.89,8.43%,9.87%,1.6702355460385439,4.67,1582950000.0,0.38,3.45%,-0.1333596984851677,0.0353720662243303,-0.545983698941789,-0.2863440123594496
NTCO3,15.6,8.04,0.98,0.848,4.75%,0.519,4.43,11.27,-4.94,11.45,6.76,7.52%,10.55%,1.47,6.30%,12.19%,1.9402985074626868,8.04,22070700000.0,0.28,-12.69%,-0.1410262579280132,0.0345271064181191,-0.5677029507676786,-0.1966193477212074
RDOR3,28.65,25.76,2.83,1.382,2.30%,0.72,2.29,9.95,-2.83,10.37,8.44,13.89%,5.55%,2.95,11.26%,10.99%,1.1121894409937887,25.76,23165100000.0,1.46,36.70%,-0.1419626684443286,0.0250691423267538,-0.5702964392159613,-0.5891394747224963
BMGB4,3.56,7.52,0.52,0.0,12.35%,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.0,0.00%,6.93%,0.473404255319149,7.52,3985940000.0,0.0,-12.10%,-0.1445444074159971,0.0287000603717134,-0.5773809388651606,-0.3479314973454948
RAIZ4,3.02,60.04,1.46,0.142,6.41%,0.244,6.23,4.64,-0.63,9.45,3.99,3.05%,0.28%,1.1,7.53%,2.44%,0.050299800133244504,60.04,21379400000.0,2.21,29.35%,-0.14605874347128,0.0267782871553852,-0.5814917034283538,-0.6667660316556218
CASH3,6.04,42.72,0.66,1.693,39.98%,0.54,0.84,-14.93,0.93,4.28,8.84,-11.33%,1.74%,6.89,-12.13%,1.54%,0.14138576779026218,42.72,798284000.0,0.0,28.32%,-0.1583646213204694,0.0472594392115999,-0.6136985968505466,-0.0765258526952822
FIQE3,3.4,7.87,1.08,1.327,8.33%,0.624,7.95,5.56,-3.74,5.47,2.7,23.85%,16.86%,1.44,13.72%,13.77%,0.4320203303684879,7.87,1134990000.0,0.26,33.28%,-0.1615926734972781,0.0296925478912607,-0.6218019819877543,-0.6269964808905701
LREN3,13.3,11.99,1.27,0.93,4.94%,0.672,3.0,4.51,6.83,4.15,2.96,20.61%,7.76%,1.65,18.65%,10.58%,1.109257714762302,11.99,10099800000.0,0.14,14.43%,-0.164591387557128,0.0286202309577899,-0.6292044509313611,-0.3338591087844587
GUAR3,7.36,150.5,0.72,0.41,1.63%,0.27,1.06,8.04,50.81,10.1,4.22,5.10%,0.27%,1.68,4.44%,0.48%,0.04890365448504984,150.5,5108920000.0,0.62,6.74%,-0.1721218758354638,0.0378202650231126,-0.647272281440961,-0.1378326291927366
PDTC3,1.96,802.89,1.12,0.448,2.35%,0.296,0.77,9.61,-13.93,16.67,6.56,4.66%,0.06%,2.17,3.82%,0.14%,0.0024411812327965227,802.89,139015000.0,1.07,-6.51%,-0.1761731526921448,0.0460832036084584,-0.6566901220745129,-0.0139708151016599
LJQQ3,4.43,9.01,1.39,0.356,3.66%,0.264,1.03,15.31,-1.52,18.35,5.68,2.33%,3.96%,1.67,2.17%,15.46%,0.49167591564927854,9.01,620719000.0,0.85,11.40%,-0.1789191583768353,0.035121930371419,-0.6629557968157513,-0.358755264435475
CSED3,4.18,12.0,1.07,0.641,3.94%,0.34,-8.88,3.72,-0.71,4.44,2.7,17.25%,5.34%,0.84,10.54%,8.91%,0.34833333333333333,12.0,1425110000.0,0.55,9.79%,-0.1849668083657584,0.0334984105042642,-0.6764252729286688,-0.5010271385403335
MATD3,5.02,14.26,1.14,0.854,1.49%,0.365,2.61,4.48,-0.88,6.88,5.54,19.07%,6.88%,2.34,8.81%,8.01%,0.35203366058906027,14.26,1681710000.0,0.75,48.75%,-0.1860222543616067,0.029234662740474,-0.678730162363204,-0.7084220501568241
LPSB3,1.92,13.21,1.32,1.594,2.12%,0.704,7.2,7.31,-3.65,5.49,3.77,21.81%,19.59%,1.53,11.97%,10.02%,0.14534443603330807,13.21,214201000.0,0.0,3.61%,-0.1929517879465224,0.0416147867617915,-0.6935314564093891,-0.1105708032050453
