ticker,Cotacao,P/L,P/VP,PSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBIT,EV/EBITDA,Mrg.Ebit,Mrg.Liq.,Liq.Corr.,ROIC,ROE,Liq.2meses,Pat.Liq,Div.Brut/Pat.,Cresc.5anos
MOAR3,395.00,5.24,3.06,0.000,7.37%,1.601,3.77,-193.23,30.00,-157.83,-162.49,0.00%,0.00%,5.04,-1.71%,58.43%,5.24,1581850000.00,0.42,-99.45%
CLSC4,77.51,5.24,0.96,0.288,3.93%,0.240,-22.68,3.17,-0.52,5.61,4.17,9.06%,5.49%,0.96,8.87%,18.30%,5.24,3120450000.00,1.02,6.21%
GGBR3,15.95,5.3,0.65,0.508,6.69%,0.437,1.76,4.23,6.87,4.87,3.49,12.00%,9.62%,2.79,12.25%,12.21%,5.3,51919400000.00,0.21,16.55%
SAPR4,5.49,5.31,0.82,1.269,5.07%,0.418,6.00,3.06,-1.33,4.71,3.98,41.54%,23.91%,1.66,15.44%,15.44%,5.31,10123600000.00,0.63,7.98%
NEOE3,19.13,5.31,0.75,0.527,4.33%,0.228,9.63,2.60,-0.49,7.06,5.42,20.31%,10.08%,1.11,9.94%,14.13%,5.31,30954000000.00,1.55,12.14%
BMEB3,26.68,5.4,1.67,0.000,4.49%,0.000,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,0.00,0.00%,30.96%,5.4,1672510000.00,0.00,19.43%
CMIG4,10.46,5.42,1.18,0.803,7.91%,0.521,15.29,4.07,-1.74,5.04,4.28,19.76%,14.82%,1.15,14.64%,21.72%,5.42,25414600000.00,0.46,11.07%
DEXP4,10.26,5.49,1.26,0.580,5.26%,0.669,1.41,5.95,2.32,5.06,4.26,9.74%,12.19%,3.57,16.90%,22.86%,5.49,768208000.00,0.35,21.08%
MTSA4,44.49,5.52,0.88,0.764,4.45%,0.708,1.17,10.41,1.21,6.97,5.16,7.34%,13.83%,4.52,10.16%,15.85%,5.52,446721000.00,0.07,19.27%
EQMA3B,25.99,5.53,1.09,0.739,9.16%,0.458,8.70,3.27,-1.37,5.05,4.21,22.55%,13.34%,1.27,16.11%,19.69%,5.53,3915830000.00,0.77,10.26%
